,county,state,population,dc,obs_dr,pred_dr,pred_dc,pred_dr_err_low,pred_dr_err_upp,pred_dc_err_low,pred_dc_err_upp
43,Macon,AL,24928,2.0,0.8023106546854942,3.171786510559166e-05,8.0,2.1099171678853065e-05,4.327416179691833e-05,3.0,13.0
44,Madison,AL,238912,34.0,1.4231181355478169,1.9016281007789905e-05,46.0,1.4703695050133982e-05,2.3143551922517094e-05,31.0,61.0
45,Marengo,AL,23084,5.0,2.1660024259227173,3.730588804389273e-05,9.0,2.466326502674635e-05,4.954289849542392e-05,2.0,13.0
46,Marion,AL,29830,8.0,2.681863895407308,3.800909286939948e-05,11.0,2.7301340644324182e-05,5.0818112569354426e-05,4.0,17.0
47,Marshall,AL,70832,11.0,1.552970408854755,2.6817246404302114e-05,19.0,1.9202306967711477e-05,3.488168715949355e-05,9.0,27.0
48,Mobile,AL,378643,52.0,1.373325269449059,1.6973539127182644e-05,64.0,1.3733045139959684e-05,2.047324688213374e-05,47.0,83.0
49,Monroe,AL,23968,1.0,0.4172229639519359,3.087656978094545e-05,7.0,2.0612048953050257e-05,4.2491359990202304e-05,2.0,12.0
50,Montgomery,AL,209085,25.0,1.1956859650381424,1.772606575087582e-05,37.0,1.3448405922770561e-05,2.2154077163997487e-05,23.0,50.0
51,Morgan,AL,100043,16.0,1.5993122957128434,2.4717883324643615e-05,25.0,1.8467258914706492e-05,3.163409749666641e-05,13.0,34.0
52,Perry,AL,12759,1.0,0.7837604827964574,3.7150448637551725e-05,5.0,2.383376246701497e-05,5.020123326706784e-05,1.0,8.0
53,Pickens,AL,20699,7.0,3.3818058843422385,4.1434652854895555e-05,8.0,2.7633630207326602e-05,5.390510196776945e-05,2.0,13.0
54,Pike,AL,27595,1.0,0.3623844899438304,2.9347716850132347e-05,8.0,1.9761843647165554e-05,4.0844331571279944e-05,3.0,13.0
55,Randolph,AL,19881,2.0,1.0059856144057142,3.446570594241338e-05,7.0,2.2678648706043854e-05,4.6691455697791226e-05,2.0,11.0
56,Russell,AL,46860,13.0,2.7742210840802395,3.665157292820073e-05,17.0,2.578701086988274e-05,4.6389973652157704e-05,9.0,25.0
57,Shelby,AL,99358,8.0,0.8051691861752452,1.94648948256615e-05,19.0,1.3647339682541589e-05,2.5850660749560767e-05,9.0,27.0
58,St. clair,AL,50009,0.0,0.0,2.1259021958183807e-05,10.0,1.381303168734452e-05,2.9286225816641598e-05,3.0,16.0
59,Sumter,AL,16174,0.0,0.0,3.3196106477523e-05,5.0,2.0735178922720438e-05,4.5115815221721405e-05,1.0,9.0
60,Talladega,AL,74107,12.0,1.6192802299377924,2.7053945972943306e-05,20.0,1.956942453715797e-05,3.531506003095201e-05,10.0,29.0
61,Tallapoosa,AL,38826,15.0,3.8633905115129035,4.228368764432304e-05,16.0,3.0811442341613676e-05,5.426254537320418e-05,7.0,23.0
62,Tuscaloosa,AL,150522,23.0,1.5280158382163402,2.1998630636778247e-05,33.0,1.676018220272704e-05,2.761309290192022e-05,20.0,45.0
63,Walker,AL,67670,17.0,2.512191517659229,3.335376435517339e-05,22.0,2.4651751286248604e-05,4.291945270874986e-05,13.0,32.0
64,Washington,AL,16694,1.0,0.5990176111177669,3.44522687666441e-05,6.0,2.264473261641945e-05,4.686729814268119e-05,2.0,10.0
65,Wilcox,AL,13568,3.0,2.2110849056603774,4.021275859504129e-05,5.0,2.713019987252196e-05,5.391158674679832e-05,1.0,9.0
66,Winston,AL,22053,5.0,2.267265224685984,3.778117864212446e-05,8.0,2.610070288745406e-05,5.0803745791857776e-05,3.0,13.0
67,Apache,AZ,61591,2.0,0.3247227679368739,2.051542675664682e-05,12.0,1.352513190114371e-05,2.7957333351969225e-05,6.0,20.0
68,Cochise,AZ,97624,15.0,1.536507416209129,2.4965344127561326e-05,24.0,1.8374230485217386e-05,3.234442582846111e-05,14.0,34.0
69,Coconino,AZ,96591,6.0,0.6211758859521073,1.8425661241405022e-05,18.0,1.1901565453497698e-05,2.4129038084418125e-05,7.0,26.0
70,Gila,AZ,40216,9.0,2.237915257608912,3.44412148956146e-05,14.0,2.423273894906684e-05,4.492500781445834e-05,7.0,21.0
71,Graham,AZ,26554,13.0,4.895684266023952,4.7081959867773215e-05,12.0,3.388525367834631e-05,6.058003584396721e-05,5.0,18.0
72,Greenlee,AZ,8008,2.0,2.4975024975024973,4.2457760873540744e-05,3.0,2.8424538645848676e-05,5.897181235699304e-05,0.0,6.0
73,La paz,AZ,13844,0.0,0.0,3.4486916836263635e-05,5.0,2.182553878881401e-05,4.6891189961341764e-05,1.0,8.0
74,Maricopa,AZ,2122101,373.0,1.7576920231412168,1.8118411727601748e-05,384.0,1.6578275698939755e-05,1.956736144405325e-05,340.0,430.0
75,Mohave,AZ,93497,30.0,3.2086591013615413,3.629162732652868e-05,34.0,2.728903967118978e-05,4.429721781370588e-05,21.0,45.0
76,Navajo,AZ,77658,10.0,1.2876973396172964,2.4675833297697944e-05,19.0,1.7186449881034062e-05,3.199846098460128e-05,9.0,27.0
77,Pima,AZ,666880,150.0,2.2492802303262955,2.3825397502060293e-05,159.0,2.0757480029748198e-05,2.6838614036391252e-05,132.0,190.0
78,Pinal,AZ,116379,21.0,1.8044492563091281,2.5397165616488725e-05,29.0,1.9059954612332672e-05,3.206725403452498e-05,17.0,40.0
79,Santa cruz,AZ,29676,0.0,0.0,2.6911209421373872e-05,8.0,1.7964507236761443e-05,3.8254454276247516e-05,3.0,13.0
80,Yavapai,AZ,107714,35.0,3.249345488980077,3.6310201695170924e-05,39.0,2.858477963192624e-05,4.454355188894676e-05,24.0,51.0
81,Yuma,AZ,106895,21.0,1.964544646615838,2.6877800725494435e-05,29.0,2.0345976833392067e-05,3.432554193688939e-05,16.0,39.0
82,Arkansas,AR,21653,4.0,1.84731907818778,3.6644472103440403e-05,8.0,2.383678952442054e-05,4.871962635347139e-05,3.0,13.0
83,Ashley,AR,24319,4.0,1.6448044738681689,3.504934994423024e-05,8.0,2.3793445472468372e-05,4.6848807503885525e-05,2.0,13.0
84,Baxter,AR,31186,9.0,2.8859103443853016,3.8471580056665506e-05,12.0,2.6424205094441708e-05,5.019628371369789e-05,5.0,18.0
85,Benton,AR,97499,20.0,2.0513030902881053,2.843498076446072e-05,27.0,2.1513786539887266e-05,3.675157198226312e-05,16.0,38.0
86,Boone,AR,28297,10.0,3.5339435275824282,4.1418593304420705e-05,12.0,3.0301564723709334e-05,5.4867259448453026e-05,5.0,18.0
87,Bradley,AR,11793,0.0,0.0,3.6036876693140296e-05,4.0,2.315949152674194e-05,4.898887549325533e-05,0.0,7.0
88,Calhoun,AR,5826,2.0,3.432887058015792,4.442271819301461e-05,2.0,2.834080849457398e-05,5.951351476746215e-05,0.0,5.0
89,Carroll,AR,18654,4.0,2.144312211858047,3.8379156475485204e-05,7.0,2.5324075517587894e-05,5.220512857967106e-05,2.0,12.0
90,Chicot,AR,15713,1.0,0.6364157067396423,3.509205248677628e-05,5.0,2.2790258483878856e-05,4.783677332498377e-05,1.0,9.0
91,Clark,AR,21437,3.0,1.399449549843728,3.521991294409965e-05,7.0,2.3323871344709754e-05,4.811220489567325e-05,2.0,12.0
92,Clay,AR,18107,10.0,5.5227260175622686,4.831176386055019e-05,9.0,3.440830749421761e-05,6.385973091855723e-05,3.0,14.0
93,Cleburne,AR,19411,7.0,3.606202668589975,4.266167729570905e-05,8.0,2.8640178253921752e-05,5.557932457810539e-05,4.0,14.0
94,Cleveland,AR,7781,1.0,1.2851818532322326,4.0935235551069684e-05,3.0,2.5853667343088496e-05,5.531205814880856e-05,0.0,6.0
95,Columbia,AR,25691,8.0,3.113930948581216,4.027766100281198e-05,10.0,2.7920425952680334e-05,5.3051929003068074e-05,4.0,16.0
96,Conway,AR,19151,4.0,2.0886637773484416,3.8349398665585104e-05,7.0,2.5896632008098244e-05,5.1522369812409786e-05,2.0,12.0
97,Craighead,AR,68956,15.0,2.175300191426417,3.0917588592686494e-05,21.0,2.2598207600492616e-05,3.957323900258979e-05,11.0,30.0
98,Crawford,AR,42493,12.0,2.823994540277222,3.6706276199451816e-05,16.0,2.5684684144219354e-05,4.723800763052352e-05,7.0,23.0
99,Crittenden,AR,49939,1.0,0.20024429804361324,2.226319402498715e-05,11.0,1.4781462671253218e-05,3.0772191951759036e-05,4.0,17.0
100,Cross,AR,19225,3.0,1.5604681404421326,3.635926599897416e-05,7.0,2.3718876958762236e-05,4.823354737508448e-05,2.0,11.0
101,Dallas,AR,9614,0.0,0.0,3.759667953704408e-05,3.0,2.4733559317261087e-05,5.226195139630878e-05,0.0,6.0
102,Desha,AR,16798,1.0,0.5953089653530182,3.4781321854516554e-05,6.0,2.2605390898342613e-05,4.784955395177928e-05,2.0,10.0
103,Drew,AR,17369,4.0,2.302953537912373,3.9184402425427566e-05,7.0,2.611505526062462e-05,5.222876071489981e-05,2.0,11.0
104,Faulkner,AR,60006,10.0,1.6665000166650004,2.8869503357305535e-05,17.0,2.0701640595205005e-05,3.770452160974568e-05,8.0,25.0
105,Franklin,AR,14897,3.0,2.01382828757468,3.888509554035842e-05,6.0,2.5823568060030984e-05,5.2185472220069175e-05,2.0,10.0
106,Fulton,AR,10037,4.0,3.9852545581349017,4.475797519594146e-05,4.0,2.980480382670431e-05,5.971112502476169e-05,1.0,8.0
107,Garland,AR,73397,28.0,3.8148698175674753,4.088341207266594e-05,30.0,3.210027369605915e-05,5.12097177054072e-05,20.0,42.0
108,Grant,AR,13948,2.0,1.4338973329509608,3.80171782439034e-05,5.0,2.5267135145161826e-05,5.186848211517977e-05,1.0,9.0
109,Greene,AR,31804,9.0,2.8298327254433397,3.8050697178305975e-05,12.0,2.632022295859251e-05,5.009574385375676e-05,5.0,18.0
110,Hempstead,AR,21621,4.0,1.8500531890291847,3.6370873412435406e-05,8.0,2.512071730122097e-05,4.967998589032621e-05,3.0,13.0
111,Hot spring,AR,26115,0.0,0.0,2.8430388593516588e-05,7.0,1.8016267463514632e-05,3.9410124571446735e-05,2.0,12.0
112,Howard,AR,13569,2.0,1.4739479696366717,3.828619975086349e-05,5.0,2.4745822558309434e-05,5.1132048498031204e-05,1.0,9.0
113,Independence,AR,31192,7.0,2.2441651705565526,3.598984661056138e-05,11.0,2.611237872371743e-05,4.8519390855143485e-05,5.0,17.0
114,Izard,AR,11364,4.0,3.5198873636043646,4.385408605546553e-05,5.0,2.836634936846188e-05,5.7923916798920934e-05,0.0,8.0
115,Jackson,AR,18944,4.0,2.1114864864864864,3.8309043366238215e-05,7.0,2.599719877991673e-05,5.172653036963837e-05,2.0,12.0
116,Jefferson,AR,85487,17.0,1.9886064547825983,2.8604176843656163e-05,24.0,2.1005220103492117e-05,3.6544422960738124e-05,13.0,34.0
117,Johnson,AR,18221,9.0,4.939355688491301,4.668976561226705e-05,8.0,3.236930304717874e-05,6.104575671433247e-05,4.0,14.0
118,Lafayette,AR,9643,1.0,1.0370216737529816,3.905661843362008e-05,4.0,2.6239096925389136e-05,5.413292703557675e-05,1.0,7.0
119,Lawrence,AR,17457,5.0,2.8641805579423734,4.09156497302296e-05,7.0,2.6811867508867047e-05,5.417355208970008e-05,3.0,12.0
120,Lee,AR,13053,3.0,2.298322224775913,4.078504654176085e-05,5.0,2.744660790290571e-05,5.551343418541962e-05,1.0,9.0
121,Lincoln,AR,13690,2.0,1.4609203798392991,3.789934984435032e-05,5.0,2.3822568820143013e-05,5.0824689776091496e-05,1.0,9.0
122,Little river,AR,13966,0.0,0.0,3.442292917193445e-05,5.0,2.1527844231870083e-05,4.731175652471784e-05,0.0,8.0
123,Logan,AR,20557,3.0,1.4593569100549688,3.548480845000425e-05,7.0,2.3182961453562865e-05,4.874265895160976e-05,2.0,12.0
124,Lonoke,AR,39268,13.0,3.310583681369053,3.9914949485915806e-05,15.0,2.8966305911373686e-05,5.178352759165823e-05,8.0,23.0
125,Madison,AR,11618,4.0,3.442933379239112,4.3143025548100375e-05,5.0,2.8077945326351336e-05,5.7318884905819745e-05,0.0,8.0
126,Marion,AR,12001,6.0,4.999583368052663,4.698280871243665e-05,5.0,3.114072980262704e-05,6.155831773309882e-05,1.0,9.0
127,Miller,AR,38467,8.0,2.079704681935165,3.3924351419143496e-05,13.0,2.3258124034227828e-05,4.4536140757242364e-05,5.0,19.0
128,Mississippi,AR,57525,11.0,1.9122120817036077,3.03084919171206e-05,17.0,2.20448011527914e-05,3.9746411909237014e-05,8.0,25.0
129,Monroe,AR,11333,3.0,2.6471366804906027,4.15142110144878e-05,5.0,2.794466951560922e-05,5.772556586147525e-05,1.0,8.0
130,Montgomery,AR,7841,1.0,1.2753475322025252,4.049533416774259e-05,3.0,2.6567176948479633e-05,5.610013050051433e-05,0.0,6.0
131,Nevada,AR,10101,1.0,0.99000099000099,3.881157870720597e-05,4.0,2.5440060013806757e-05,5.350825440241761e-05,1.0,7.0
132,Newton,AR,7666,1.0,1.3044612575006524,4.1110882132187105e-05,3.0,2.666576585034728e-05,5.6123145624361105e-05,0.0,6.0
133,Ouachita,AR,30574,3.0,0.9812258781971608,3.074828605560433e-05,9.0,2.0990659631771504e-05,4.163106081889348e-05,4.0,15.0
134,Perry,AR,7969,2.0,2.5097251850922326,4.2464715117210645e-05,3.0,2.8239097528494048e-05,5.7596632151758866e-05,0.0,6.0
135,Phillips,AR,28838,8.0,2.7741174838754423,3.855921641411553e-05,11.0,2.671819964031251e-05,5.01658035280096e-05,5.0,17.0
136,Pike,AR,10086,3.0,2.9744199881023197,4.242997856919978e-05,4.0,2.872658954510443e-05,5.833412380046941e-05,0.0,7.0
137,Poinsett,AR,24664,6.0,2.432695426532598,3.775248457982737e-05,9.0,2.65201028202673e-05,5.0187838910734695e-05,3.0,14.0
138,Polk,AR,17347,6.0,3.458811321842393,4.247163189273612e-05,7.0,2.890136670946342e-05,5.736455139728861e-05,2.0,12.0
139,Pope,AR,45883,11.0,2.397402087919273,3.450442355478863e-05,16.0,2.4008826435712177e-05,4.4464334622960254e-05,7.0,23.0
140,Prairie,AR,9518,2.0,2.101281781886951,4.112813316457036e-05,4.0,2.7901013430841416e-05,5.6776992307665684e-05,1.0,7.0
141,Pulaski,AR,349660,68.0,1.9447463250014296,2.2268820636356735e-05,78.0,1.8202619079077017e-05,2.6296849331121828e-05,57.0,96.0
142,Randolph,AR,16558,7.0,4.227563715424568,4.45536143415685e-05,7.0,3.161279519852595e-05,6.097065499253617e-05,2.0,12.0
143,Saline,AR,64183,15.0,2.3370674477665423,3.2246527824561005e-05,20.0,2.343428106720335e-05,4.10840951928299e-05,11.0,29.0
144,Scott,AR,10205,3.0,2.939735423811857,4.260586592436741e-05,4.0,2.7486050738186507e-05,5.673632626585097e-05,1.0,8.0
145,Searcy,AR,7841,2.0,2.5506950644050503,4.270165308647297e-05,3.0,2.927802361343068e-05,5.951555831237466e-05,0.0,6.0
146,Sebastian,AR,99590,19.0,1.9078220704890048,2.7002221801681165e-05,27.0,2.0138505072612964e-05,3.4458862177177594e-05,15.0,37.0
147,Sevier,AR,13637,3.0,2.1998973381242206,3.9762173929570524e-05,5.0,2.6536519560335647e-05,5.42037181386162e-05,1.0,9.0
148,Sharp,AR,14109,9.0,6.378907080586861,5.032567502429715e-05,7.0,3.639232783935484e-05,6.718620976799756e-05,3.0,12.0
149,St. francis,AR,28497,0.0,0.0,2.745025388298554e-05,8.0,1.7393487971454714e-05,3.762062753782574e-05,2.0,13.0
150,Stone,AR,9775,6.0,6.1381074168797936,4.8600370369042614e-05,5.0,3.356906323184464e-05,6.50780007669546e-05,1.0,8.0
151,Union,AR,46719,13.0,2.782593805518097,3.6683529793508096e-05,17.0,2.6898129462830493e-05,4.762513351198942e-05,8.0,24.0
152,Van buren,AR,14008,0.0,0.0,3.452787449063026e-05,5.0,2.2718614778129356e-05,4.902476760569014e-05,0.0,8.0
153,Washington,AR,113409,20.0,1.7635284677582908,2.5432879052738237e-05,29.0,1.899794495613122e-05,3.207535816808109e-05,16.0,39.0
154,White,AR,54676,15.0,2.743434047845489,3.59164073122033e-05,19.0,2.548005233484491e-05,4.527411951011981e-05,10.0,28.0
155,Woodruff,AR,9520,1.0,1.050420168067227,3.9483506685002265e-05,4.0,2.5973461974688718e-05,5.422182455500286e-05,1.0,7.0
156,Yell,AR,17759,5.0,2.8154738442479865,4.063907193537984e-05,7.0,2.7884101758816647e-05,5.452357365651753e-05,2.0,12.0
157,Alameda,CA,1279182,177.0,1.3836967687162576,1.4861796259657631e-05,190.0,1.3156497770098619e-05,1.6664374322628898e-05,156.0,220.0
158,Alpine,CA,1113,0.0,0.0,4.465036974693927e-05,0.0,2.899897197446809e-05,6.241336785227125e-05,0.0,1.0
159,Amador,CA,30039,6.0,1.9974033756117051,3.507418114483073e-05,10.0,2.3439731314381252e-05,4.603184377790996e-05,4.0,16.0
160,Butte,CA,182120,48.0,2.635624862727872,2.9932420128407477e-05,55.0,2.3957283213603825e-05,3.584495430848582e-05,39.0,71.0
161,Calaveras,CA,31998,7.0,2.187636727295456,3.556911904633631e-05,11.0,2.4563642075730635e-05,4.709980698427072e-05,4.0,17.0
162,Colusa,CA,16275,4.0,2.457757296466974,3.998084471312453e-05,6.0,2.6508357224185997e-05,5.334326804133652e-05,2.0,11.0
163,Contra costa,CA,803732,0.0,0.0,2.3120362334332007e-06,18.0,1.490607565696325e-06,3.2128987476539907e-06,9.0,28.0
164,Del norte,CA,23460,0.0,0.0,2.9567606837290748e-05,7.0,1.807391275531042e-05,4.009099167805471e-05,1.0,11.0
165,El dorado,CA,125995,0.0,0.0,1.1712143357485238e-05,14.0,7.420274825677008e-06,1.6390259335784127e-05,6.0,22.0
166,Fresno,CA,667490,95.0,1.4232422957647304,1.6168735197697387e-05,108.0,1.363594285195807e-05,1.8515593990007444e-05,82.0,129.0
167,Glenn,CA,24798,6.0,2.419549963706751,3.766010000599723e-05,9.0,2.613505179368814e-05,5.014058366173591e-05,4.0,15.0
168,Humboldt,CA,119118,28.0,2.350610319179301,2.9588688693655312e-05,35.0,2.3187037392926615e-05,3.715810002312942e-05,22.0,47.0
169,Imperial,CA,109303,17.0,1.555309552345315,2.4127420655303154e-05,26.0,1.7519164120033525e-05,3.093518560287641e-05,14.0,36.0
170,Inyo,CA,18281,2.0,1.0940320551392155,3.562605792505955e-05,6.0,2.3292155067915797e-05,4.880328757140964e-05,2.0,11.0
171,Kern,CA,543477,87.0,1.6008037138646158,1.8115376436860658e-05,99.0,1.5224494861016782e-05,2.099501207492467e-05,76.0,121.0
172,Kings,CA,101469,12.0,1.182627206338882,2.197318527228844e-05,22.0,1.5605696970487448e-05,2.854740727246067e-05,12.0,32.0
173,Lake,CA,50631,23.0,4.54267148584859,4.581915675534083e-05,23.0,3.4679625690446196e-05,5.7638392009074384e-05,13.0,32.0
174,Lassen,CA,27598,8.0,2.8987607797666497,3.920718055065191e-05,11.0,2.7280321849470638e-05,5.1485293670517184e-05,5.0,17.0
175,Los angeles,CA,8863164,0.0,0.0,2.2010638292984326e-07,19.0,1.430499719017139e-07,3.0257216618753676e-07,9.0,29.0
176,Madera,CA,88090,16.0,1.816324213872176,2.7096656919280393e-05,23.0,2.0331186066719133e-05,3.510838740011076e-05,13.0,33.0
177,Marin,CA,230096,47.0,2.042625686669912,2.4445021958125457e-05,56.0,1.9677369347029603e-05,2.946491995492964e-05,37.0,71.0
178,Mariposa,CA,14302,6.0,4.1952174521046,4.473788198351982e-05,6.0,3.081555868227444e-05,5.891763197240067e-05,1.0,10.0
179,Mendocino,CA,80345,12.0,1.4935590266973675,2.5768936503013394e-05,20.0,1.9203031820806016e-05,3.422968550279748e-05,10.0,29.0
180,Merced,CA,178403,35.0,1.9618504173136104,2.4656303479819206e-05,44.0,1.9427946088482644e-05,3.0241376567653847e-05,29.0,58.0
181,Modoc,CA,9678,2.0,2.0665426741062207,4.102022385358039e-05,4.0,2.6864897981304155e-05,5.5434446497806194e-05,1.0,7.0
182,Mono,CA,9956,0.0,0.0,3.7183966897849105e-05,4.0,2.383140437667618e-05,5.211107251437089e-05,1.0,7.0
183,Monterey,CA,355660,45.0,1.2652533318337738,1.623038683035904e-05,58.0,1.2948820183553808e-05,1.9605921104675548e-05,39.0,74.0
184,Napa,CA,110765,42.0,3.791811492800072,4.001949911569056e-05,44.0,3.199167058772927e-05,4.868661899192799e-05,30.0,58.0
185,Nevada,CA,78510,15.0,1.9105846388995031,2.8376045482333636e-05,22.0,2.048793865518782e-05,3.645725868633497e-05,12.0,32.0
186,Orange,CA,2410556,379.0,1.5722513810091947,1.6240840944092486e-05,391.0,1.4909862102627515e-05,1.7616528391175912e-05,344.0,437.0
187,Placer,CA,172796,31.0,1.7940230097918934,2.3422714079755284e-05,40.0,1.8079631585077566e-05,2.8673344854278215e-05,27.0,55.0
188,Plumas,CA,19739,6.0,3.039667663002178,4.0920163558605876e-05,8.0,2.7840122471871523e-05,5.478207234401487e-05,3.0,13.0
189,Riverside,CA,1170413,192.0,1.640446577404728,1.7443693829115806e-05,204.0,1.557412806782145e-05,1.95503350094818e-05,169.0,236.0
190,Sacramento,CA,1041219,171.0,1.6423057973394648,1.754402430872767e-05,182.0,1.549128127133058e-05,1.9715666240045656e-05,154.0,215.0
191,San benito,CA,36697,0.0,0.0,2.4549930342145758e-05,9.0,1.6330568650443426e-05,3.333750315480796e-05,4.0,15.0
192,San bernardino,CA,1418380,0.0,0.0,1.3513734986554422e-06,19.0,8.8456462553768e-07,1.896045553908165e-06,8.0,28.0
