,county,state,population,dc,obs_dr,pred_dr,pred_dc,pred_dr_err_low,pred_dr_err_upp,pred_dc_err_low,pred_dc_err_upp
895,Jackson,KS,11525,4.0,3.470715835140998,4.363374644688299e-05,5.0,2.9118879148655928e-05,5.7971775095708886e-05,0.0,8.0
896,Jefferson,KS,15905,4.0,2.5149324111914493,4.034375419672522e-05,6.0,2.7338988393873753e-05,5.4864058914388635e-05,2.0,11.0
897,Jewell,KS,4251,1.0,2.352387673488592,4.358490245268769e-05,2.0,2.7307358134954816e-05,5.780427059707732e-05,0.0,4.0
898,Johnson,KS,355054,72.0,2.0278605507894576,2.3085729520972047e-05,82.0,1.9165612670583202e-05,2.6949264605393415e-05,61.0,101.0
899,Kearny,KS,4027,1.0,2.4832381425378696,4.3804409923436615e-05,2.0,2.7444662092707716e-05,5.970409897879178e-05,0.0,4.0
900,Kingman,KS,8292,2.0,2.4119633381572596,4.2586263765066593e-05,3.0,2.8214297179575854e-05,5.803691988429044e-05,0.0,6.0
901,Kiowa,KS,3660,0.0,0.0,4.212582894661649e-05,1.0,2.7453261668368207e-05,5.798225799093651e-05,0.0,3.0
902,Labette,KS,23693,6.0,2.532393533955177,3.8440714791648395e-05,9.0,2.657822948237943e-05,5.085960756688016e-05,3.0,14.0
903,Lane,KS,2375,0.0,0.0,4.328069415766793e-05,1.0,2.8127904476954552e-05,6.04171800325749e-05,0.0,2.0
904,Leavenworth,KS,64371,12.0,1.8641935032856407,2.9802393420401156e-05,19.0,2.1670709622444645e-05,3.891566236138405e-05,9.0,27.0
905,Lincoln,KS,3653,1.0,2.737476047084588,4.424158744481259e-05,1.0,2.8829847228453756e-05,6.0314910667351673e-05,0.0,3.0
906,Linn,KS,8254,3.0,3.63460140537921,4.417028747927753e-05,4.0,2.874821258721048e-05,5.919707280051442e-05,1.0,7.0
907,Logan,KS,3081,1.0,3.2456994482310937,4.458911207043128e-05,1.0,2.9113234714791938e-05,6.171217224389036e-05,0.0,3.0
908,Lyon,KS,34732,4.0,1.1516756881262238,3.067982665878335e-05,10.0,2.0287373815536746e-05,4.1151048620558114e-05,4.0,16.0
909,Marion,KS,12888,5.0,3.879577901924271,4.3923464879650474e-05,6.0,2.996998817594401e-05,5.8646168257770917e-05,1.0,9.0
910,Marshall,KS,11705,6.0,5.126014523707816,4.70216632073372e-05,5.0,3.199892310351778e-05,6.244848638835518e-05,1.0,9.0
911,Mcpherson,KS,27268,0.0,0.0,2.819374513269823e-05,8.0,1.799035072009073e-05,3.882564483999711e-05,2.0,12.0
912,Meade,KS,4247,1.0,2.3546032493524844,4.360025909444346e-05,2.0,2.7499540510395348e-05,5.9154235956929956e-05,0.0,4.0
913,Miami,KS,23466,4.0,1.704593880507969,3.581640135041307e-05,8.0,2.4862624193399645e-05,4.793013286904553e-05,2.0,13.0
914,Mitchell,KS,7203,0.0,0.0,3.9012481266833824e-05,3.0,2.4705278741906945e-05,5.3513799598846276e-05,0.0,5.0
915,Montgomery,KS,38816,16.0,4.122011541632316,4.355182766398374e-05,17.0,3.150373279631393e-05,5.59377597733806e-05,7.0,24.0
916,Morris,KS,6198,2.0,3.2268473701193936,4.4131575971096976e-05,3.0,2.8758722627831476e-05,5.935708917159914e-05,0.0,5.0
917,Morton,KS,3480,0.0,0.0,4.243385728597987e-05,1.0,2.676794821462764e-05,5.756213988674306e-05,0.0,3.0
918,Nemaha,KS,10446,4.0,3.8292169251388084,4.427607957038054e-05,5.0,2.8711356865605297e-05,5.881105522732721e-05,1.0,8.0
919,Neosho,KS,17035,1.0,0.587026709715292,3.463995621505957e-05,6.0,2.279743132668815e-05,4.801904354511123e-05,1.0,10.0
920,Ness,KS,4033,2.0,4.9590875278948685,4.5971404233294215e-05,2.0,3.129333196355495e-05,6.361091270403303e-05,0.0,4.0
921,Norton,KS,5947,3.0,5.044560282495375,4.646668263988723e-05,3.0,3.083455679475593e-05,6.215288381546955e-05,0.0,5.0
922,Osage,KS,15248,5.0,3.2791185729275973,4.200548272170817e-05,6.0,2.8925446343929683e-05,5.6157321759689406e-05,1.0,10.0
923,Osborne,KS,4867,1.0,2.054653790836244,4.319089442000877e-05,2.0,2.6993199769578694e-05,5.7691293188011995e-05,0.0,4.0
924,Ottawa,KS,5634,1.0,1.774937877174299,4.26893051450841e-05,2.0,2.6919593104645716e-05,5.7716613448094745e-05,0.0,5.0
925,Pawnee,KS,7555,2.0,2.647253474520185,4.2827985490136384e-05,3.0,2.7815298853166034e-05,5.7420485454384274e-05,0.0,6.0
926,Phillips,KS,6590,4.0,6.0698027314112295,4.7679034140167705e-05,3.0,3.113421623185504e-05,6.410052454605579e-05,0.0,6.0
927,Pottawatomie,KS,16128,3.0,1.8601190476190477,3.8346596512263265e-05,6.0,2.491738785678492e-05,5.1124571157417125e-05,1.0,10.0
928,Pratt,KS,9702,1.0,1.030715316429602,3.915138641299422e-05,4.0,2.499375503858466e-05,5.286811752143668e-05,1.0,7.0
929,Rawlins,KS,3404,2.0,5.875440658049353,4.686921615337061e-05,1.0,3.0968540082959114e-05,6.36870553224749e-05,0.0,3.0
930,Reno,KS,62389,30.0,4.808539966981359,4.7047612081229856e-05,29.0,3.583403935132976e-05,5.801126573839556e-05,18.0,40.0
931,Republic,KS,6482,3.0,4.62820117247763,4.5816670742568424e-05,3.0,2.9830013073984238e-05,6.175015071969544e-05,0.0,6.0
932,Rice,KS,10610,10.0,9.42507068803016,5.541753769114026e-05,6.0,3.912749793538238e-05,7.341565636277875e-05,2.0,10.0
933,Riley,KS,67139,7.0,1.04261308628368,2.421285003527324e-05,16.0,1.7003802114528396e-05,3.184934341761699e-05,8.0,24.0
934,Rooks,KS,6039,1.0,1.6559032952475576,4.221707553691019e-05,2.0,2.6421923607577555e-05,5.699622429866768e-05,0.0,5.0
935,Rush,KS,3842,1.0,2.6028110359187933,4.43540744039904e-05,2.0,2.7672048057913123e-05,5.918492335241792e-05,0.0,4.0
936,Russell,KS,7835,1.0,1.2763241863433312,4.054822731357036e-05,3.0,2.545618100664279e-05,5.5083226941902974e-05,0.0,6.0
937,Saline,KS,49301,10.0,2.0283564227906132,3.1879349878190436e-05,16.0,2.301104623286512e-05,4.2079671386227736e-05,7.0,23.0
938,Scott,KS,5289,2.0,3.781433163168842,4.4546460850636105e-05,2.0,2.9848956987179635e-05,6.187473009593156e-05,0.0,5.0
939,Sedgwick,KS,403662,92.0,2.279134523437926,2.4920412644484763e-05,101.0,2.0919316727827383e-05,2.872457160982532e-05,77.0,122.0
940,Seward,KS,18743,3.0,1.600597556421064,3.67116584656821e-05,7.0,2.4823085637576304e-05,4.979824415068971e-05,2.0,11.0
941,Shawnee,KS,160976,46.0,2.857568830136169,3.223405258897582e-05,52.0,2.60928673700878e-05,3.931360403223045e-05,36.0,67.0
942,Sheridan,KS,3043,2.0,6.572461386789353,4.738269260941274e-05,1.0,3.145628975219698e-05,6.516799150549135e-05,0.0,3.0
943,Sherman,KS,6926,4.0,5.775339301183945,4.744606232518147e-05,3.0,3.242332068880613e-05,6.464246439971415e-05,0.0,6.0
944,Smith,KS,5078,3.0,5.907837731390312,4.704132409860641e-05,2.0,3.1263883847188426e-05,6.386813825826289e-05,0.0,5.0
945,Stafford,KS,5365,3.0,5.591798695246972,4.6955516103879184e-05,2.0,3.0239777670445455e-05,6.300750547554509e-05,0.0,5.0
946,Stanton,KS,2333,0.0,0.0,4.3430903282524376e-05,1.0,2.8089492111143222e-05,6.02865792295123e-05,0.0,2.0
947,Stevens,KS,5048,2.0,3.961965134706815,4.5173435731541434e-05,2.0,3.044309345252697e-05,6.159771166928736e-05,0.0,4.0
948,Sumner,KS,25841,17.0,6.578692775047406,5.31589954157601e-05,14.0,3.9908122106075906e-05,6.854475881756442e-05,6.0,20.0
949,Thomas,KS,8258,1.0,1.2109469605231291,4.026092867168729e-05,3.0,2.5994484333931582e-05,5.474631896844565e-05,0.0,6.0
950,Trego,KS,3694,2.0,5.414185165132649,4.604616142279782e-05,2.0,3.0019678095460277e-05,6.187234137105026e-05,0.0,4.0
951,Wabaunsee,KS,6603,2.0,3.028926245645919,4.362756504146699e-05,3.0,2.855441407018672e-05,6.040159699289056e-05,0.0,5.0
952,Wallace,KS,1821,0.0,0.0,4.389341170010678e-05,1.0,2.952388258496891e-05,6.153860267774123e-05,0.0,2.0
953,Washington,KS,7073,2.0,2.8276544606249123,4.296971501314533e-05,3.0,2.8684148954087297e-05,5.915649299161992e-05,0.0,6.0
954,Wichita,KS,2758,0.0,0.0,4.33062882980171e-05,1.0,2.6765335041931456e-05,5.9234076008876414e-05,0.0,3.0
955,Wilson,KS,10289,5.0,4.859558752065312,4.621619860268483e-05,5.0,3.0220174976215014e-05,6.0220980280662406e-05,1.0,8.0
956,Woodson,KS,4116,3.0,7.288629737609329,4.8060884213452617e-05,2.0,3.354647231368057e-05,6.647054408213542e-05,0.0,4.0
957,Wyandotte,KS,161993,40.0,2.4692424981326355,2.9040230754632436e-05,47.0,2.280548540399222e-05,3.5387746970152573e-05,30.0,61.0
958,Adair,KY,15360,3.0,1.953125,3.887915831158661e-05,6.0,2.6103905328044476e-05,5.3538021483293715e-05,2.0,10.0
959,Allen,KY,14628,7.0,4.78534317746787,4.6334435775447215e-05,7.0,3.1284229212350686e-05,6.07128910236285e-05,2.0,11.0
960,Anderson,KY,14571,1.0,0.6862946949420081,3.580151791561549e-05,5.0,2.2415889949444895e-05,4.9332018318336493e-05,1.0,9.0
961,Ballard,KY,7902,1.0,1.2655024044545686,4.038668679453547e-05,3.0,2.5087137162306434e-05,5.44764593658555e-05,0.0,6.0
962,Barren,KY,34001,14.0,4.117525955118967,4.3606152581659285e-05,15.0,3.1091300091332234e-05,5.5190861830601376e-05,7.0,22.0
963,Bath,KY,9692,4.0,4.127115146512588,4.479433811522459e-05,4.0,3.016196852054792e-05,5.960206280645292e-05,0.0,7.0
964,Bell,KY,31506,11.0,3.491398463784676,4.106840398167985e-05,13.0,2.9298174991093217e-05,5.3588227463176234e-05,5.0,19.0
965,Boone,KY,57589,12.0,2.083731268124121,3.150206477660385e-05,18.0,2.223162509391215e-05,4.055469796433851e-05,8.0,26.0
966,Bourbon,KY,19236,8.0,4.158868787689748,4.429284623130847e-05,8.0,3.137454431223769e-05,5.832783103833335e-05,3.0,13.0
967,Boyd,KY,51150,18.0,3.5190615835777126,4.000308687947476e-05,21.0,3.001054721177495e-05,5.1449297711913636e-05,11.0,29.0
968,Boyle,KY,25641,5.0,1.9500019500019496,3.5834693318437366e-05,9.0,2.4956544678005972e-05,4.810215353223123e-05,3.0,14.0
969,Bracken,KY,7766,4.0,5.150656708730363,4.694433641067575e-05,4.0,3.1648392005941636e-05,6.402944915464992e-05,1.0,7.0
970,Breathitt,KY,15703,3.0,1.9104629688594537,3.854130905786049e-05,6.0,2.542363799731281e-05,5.227262007070937e-05,2.0,10.0
971,Breckinridge,KY,16312,5.0,3.0652280529671407,4.157147995930494e-05,7.0,2.840337909867106e-05,5.608728193915375e-05,2.0,11.0
972,Bullitt,KY,47567,3.0,0.6306893434523935,2.4931658793706947e-05,12.0,1.637296937966395e-05,3.357605745964459e-05,4.0,18.0
973,Butler,KY,11245,5.0,4.446420631391731,4.521432509440687e-05,5.0,2.9411333909953005e-05,5.9748267977211105e-05,2.0,9.0
974,Caldwell,KY,13232,0.0,0.0,3.49474564519814e-05,5.0,2.223339883681344e-05,4.7902847418823484e-05,1.0,8.0
975,Calloway,KY,30735,8.0,2.602895721490158,3.73132935075618e-05,11.0,2.6855064458882492e-05,4.9497490757313006e-05,4.0,17.0
976,Campbell,KY,83866,17.0,2.027043140247537,2.8859798932893112e-05,24.0,2.110378838707132e-05,3.6803462704397685e-05,14.0,34.0
977,Carlisle,KY,5238,1.0,1.909125620465827,4.3019297480804614e-05,2.0,2.6717276631680154e-05,5.7555681506468324e-05,0.0,4.0
978,Carroll,KY,9292,4.0,4.304778303917348,4.496632455365842e-05,4.0,2.942192497195708e-05,6.017287051843435e-05,0.0,7.0
979,Carter,KY,24340,5.0,2.054231717337716,3.676097432205897e-05,9.0,2.5812091345120235e-05,5.006220101114156e-05,3.0,14.0
980,Casey,KY,14211,3.0,2.1110407430863414,3.9616492278135026e-05,5.0,2.5496070680769246e-05,5.24442241049114e-05,1.0,9.0
981,Christian,KY,68941,10.0,1.4505156583165315,2.6559749600933145e-05,18.0,1.8582735155717165e-05,3.438927729011726e-05,10.0,27.0
982,Clark,KY,29496,5.0,1.6951451044209385,3.4220781778784024e-05,10.0,2.3483519863491233e-05,4.562967225678787e-05,3.0,15.0
983,Clay,KY,21746,3.0,1.3795640577577486,3.5068328465296503e-05,7.0,2.2500263844291858e-05,4.653986988672672e-05,2.0,12.0
984,Clinton,KY,9135,4.0,4.378762999452655,4.5792726659530296e-05,4.0,3.1176720765807675e-05,6.134493497525446e-05,0.0,7.0
985,Crittenden,KY,9196,4.0,4.349717268377556,4.528260986192656e-05,4.0,3.1135650121283006e-05,6.151782173252663e-05,0.0,7.0
986,Cumberland,KY,6784,0.0,0.0,3.9718271600338934e-05,3.0,2.6471138846870366e-05,5.5607230463940844e-05,0.0,5.0
987,Daviess,KY,87189,21.0,2.4085607129339714,3.133250427081926e-05,27.0,2.3409051230107e-05,3.9395034551422865e-05,15.0,37.0
988,Edmonson,KY,10357,3.0,2.896591677126581,4.2764754517446114e-05,4.0,2.7802969731040415e-05,5.6466769537510535e-05,1.0,8.0
989,Elliott,KY,6455,2.0,3.0983733539891567,4.3845079533266526e-05,3.0,2.7740621060807974e-05,5.9243477641344684e-05,0.0,5.0
990,Estill,KY,14614,7.0,4.789927466812645,4.609377509601955e-05,7.0,3.051765468280505e-05,6.053458680454646e-05,2.0,11.0
991,Fayette,KY,225366,36.0,1.5974015601288571,2.0747460422150458e-05,46.0,1.6030977178664473e-05,2.518335001765983e-05,31.0,61.0
992,Fleming,KY,12292,7.0,5.694760820045557,4.82235070780609e-05,6.0,3.4022977064828405e-05,6.522588041539989e-05,2.0,10.0
993,Floyd,KY,43586,14.0,3.2120405634836877,3.8901657742223336e-05,17.0,2.772765736604792e-05,4.912924070071342e-05,9.0,25.0
994,Franklin,KY,43781,7.0,1.5988670884630316,3.071836600624468e-05,13.0,2.1339832866065638e-05,4.042570557698742e-05,6.0,20.0
995,Fulton,KY,8271,4.0,4.836174585902551,4.614471698425831e-05,4.0,3.17060183846823e-05,6.27783779844273e-05,1.0,7.0
996,Gallatin,KY,5393,1.0,1.8542555164101613,4.266114098580618e-05,2.0,2.6778100789628617e-05,5.8770179606001324e-05,0.0,4.0
997,Garrard,KY,11579,2.0,1.7272648760687452,3.981200591619332e-05,4.0,2.546780716973415e-05,5.293808009047418e-05,1.0,8.0
998,Grant,KY,15737,1.0,0.6354451293130838,3.521394147583422e-05,5.0,2.3048471789306e-05,4.7779130460304985e-05,2.0,10.0
999,Graves,KY,33550,13.0,3.8748137108792853,4.2875790466699284e-05,14.0,3.155715915461582e-05,5.511149053902957e-05,7.0,21.0
1000,Grayson,KY,21050,2.0,0.9501187648456056,3.364244776136875e-05,7.0,2.168874815885557e-05,4.5704276473409055e-05,3.0,12.0
1001,Green,KY,10371,2.0,1.9284543438434092,4.070366681888793e-05,4.0,2.686298331547275e-05,5.498681751245116e-05,0.0,7.0
1002,Greenup,KY,36742,3.0,0.8165042730390288,2.8407996673096245e-05,10.0,1.9461650554881184e-05,3.8379511557892434e-05,4.0,16.0
1003,Hancock,KY,7864,1.0,1.2716174974567651,4.03948800404362e-05,3.0,2.516984171853307e-05,5.476694358351321e-05,0.0,6.0
1004,Hardin,KY,89240,13.0,1.4567458538771851,2.472950803969692e-05,22.0,1.8159499775988755e-05,3.266203386741338e-05,11.0,31.0
1005,Harlan,KY,36574,9.0,2.460764477497676,3.58707263671733e-05,13.0,2.4954884953557834e-05,4.7146187019655187e-05,6.0,20.0
1006,Harrison,KY,16248,3.0,1.8463810930576068,3.815564142168957e-05,6.0,2.4851622335575122e-05,5.142787780921684e-05,1.0,10.0
1007,Hart,KY,14890,3.0,2.0147750167897915,3.9228922487895037e-05,6.0,2.6559400473767976e-05,5.2890283063925615e-05,2.0,10.0
1008,Henderson,KY,43044,7.0,1.6262429142273025,3.0886075322259235e-05,13.0,2.1395578484540422e-05,4.044678483724473e-05,6.0,20.0
1009,Henry,KY,12823,2.0,1.5596974187007724,3.886629985146391e-05,5.0,2.4996128941043375e-05,5.242376494130994e-05,0.0,8.0
1010,Hickman,KY,5566,3.0,5.389867049946102,4.701806269961615e-05,2.0,3.0321066733798158e-05,6.324365761462216e-05,0.0,5.0
1011,Hopkins,KY,46126,9.0,1.9511772102501843,3.226330794164006e-05,15.0,2.2839740917522277e-05,4.20805758679141e-05,6.0,21.0
1012,Jackson,KY,11955,4.0,3.3458803847762453,4.319773719578987e-05,5.0,2.958755980690037e-05,5.7889962070995766e-05,1.0,9.0
1013,Jefferson,KY,664937,157.0,2.3611259412545853,2.496288885946775e-05,166.0,2.1901851412328704e-05,2.8153420408213565e-05,137.0,196.0
1014,Jessamine,KY,30508,3.0,0.9833486298675757,3.076575729023392e-05,9.0,2.0711145820940377e-05,4.172107554960552e-05,4.0,15.0
1015,Johnson,KY,23248,6.0,2.5808671713695803,3.8412872476476954e-05,9.0,2.7079489134328286e-05,5.1238611394026084e-05,3.0,14.0
1016,Kenton,KY,142031,27.0,1.9009934450929729,2.5195519019955376e-05,36.0,1.9120300330834058e-05,3.087412383572609e-05,21.0,47.0
1017,Knott,KY,17906,3.0,1.675416061655311,3.702567284690452e-05,6.0,2.5436459840051086e-05,5.141030684048083e-05,2.0,11.0
1018,Knox,KY,29676,7.0,2.3588084647526624,3.686509519701533e-05,11.0,2.5663214742694538e-05,4.843536083315606e-05,3.0,16.0
1019,Larue,KY,11679,0.0,0.0,3.579140423321645e-05,4.0,2.183664538448032e-05,4.8879708657294214e-05,0.0,7.0
1020,Laurel,KY,43438,4.0,0.920852709609098,2.719004554244236e-05,12.0,1.8474169908629765e-05,3.6493552997896774e-05,6.0,19.0
1021,Lawrence,KY,13998,4.0,2.8575510787255323,4.1609324288976024e-05,6.0,2.757276811839693e-05,5.597820885526209e-05,2.0,10.0
1022,Lee,KY,7422,5.0,6.736728644570197,4.8888258828404236e-05,3.0,3.288719355415249e-05,6.462971189318684e-05,0.0,6.0
1023,Leslie,KY,13642,1.0,0.7330303474563847,3.643586443378428e-05,5.0,2.3925322628181222e-05,5.029455588638382e-05,0.0,8.0
1024,Letcher,KY,27000,6.0,2.222222222222222,3.6537943083261894e-05,10.0,2.507739619412399e-05,4.822546310591322e-05,4.0,15.0
1025,Lewis,KY,13029,0.0,0.0,3.513626014436815e-05,4.0,2.1959033836194562e-05,4.769234509702053e-05,1.0,8.0
1026,Lincoln,KY,20045,3.0,1.4966325767024196,3.607858105345835e-05,7.0,2.358206986829741e-05,4.8245096279652155e-05,2.0,12.0
1027,Livingston,KY,9062,2.0,2.2070183182520418,4.139160652733958e-05,4.0,2.7664688434059578e-05,5.739809627415115e-05,1.0,7.0
1028,Logan,KY,24416,8.0,3.2765399737876804,4.116758174541381e-05,10.0,2.957896089560305e-05,5.469764977772943e-05,5.0,16.0
1029,Lyon,KY,6624,2.0,3.0193236714975846,4.339374695211171e-05,3.0,2.8240397166683538e-05,5.8735533173518844e-05,0.0,5.0
1030,Madison,KY,57508,12.0,2.0866662029630656,3.150914580465276e-05,18.0,2.3230006245466586e-05,4.0977257071021104e-05,9.0,26.0
1031,Magoffin,KY,13077,4.0,3.0588055364380216,4.21065975874825e-05,5.0,2.76030333606576e-05,5.571704251010905e-05,1.0,9.0
1032,Marion,KY,16499,3.0,1.8182920176980424,3.802722167813005e-05,6.0,2.459650392895521e-05,5.031421042198861e-05,1.0,10.0
1033,Marshall,KY,27205,10.0,3.6757948906451023,4.219741808074555e-05,11.0,3.091949741858412e-05,5.585666835245372e-05,4.0,17.0
1034,Martin,KY,12526,1.0,0.7983394539358135,3.726515904876449e-05,5.0,2.497484042523107e-05,5.075162894271671e-05,1.0,8.0
1035,Mason,KY,16666,3.0,1.800072002880115,3.818155922728642e-05,6.0,2.4799334482489863e-05,5.122819748696772e-05,1.0,10.0
1036,Mccracken,KY,62879,0.0,0.0,1.8609681538897063e-05,12.0,1.1926064831254779e-05,2.5547408952106413e-05,4.0,18.0
1037,Mccreary,KY,15603,0.0,0.0,3.339018960860485e-05,5.0,2.1313979159553647e-05,4.6026502565366875e-05,1.0,9.0
1038,Mclean,KY,9628,0.0,0.0,3.7316566115807844e-05,3.0,2.4524983981636308e-05,5.254616054194165e-05,0.0,6.0
1039,Meade,KY,24170,2.0,0.8274720728175424,3.227317087429677e-05,8.0,2.120924439697876e-05,4.419844052103617e-05,2.0,12.0
1040,Menifee,KY,5092,1.0,1.963864886095837,4.316125508121027e-05,2.0,2.730589529188827e-05,5.878910237047912e-05,0.0,4.0
1041,Mercer,KY,19148,6.0,3.1334865260079376,4.1399402452387017e-05,8.0,2.966702215071447e-05,5.6979735877225255e-05,3.0,13.0
1042,Metcalfe,KY,8963,2.0,2.2313957380341405,4.182013122209905e-05,4.0,2.656291700415172e-05,5.614248514754977e-05,1.0,7.0
1043,Monroe,KY,11401,5.0,4.385580212262082,4.54352102356575e-05,5.0,3.179522353403886e-05,6.210008601232497e-05,1.0,9.0
1044,Montgomery,KY,19561,4.0,2.0448852308164205,3.787303561428487e-05,7.0,2.5278312982026385e-05,5.076259183172693e-05,2.0,12.0
1045,Morgan,KY,11648,2.0,1.717032967032967,3.965310442019217e-05,4.0,2.5500320058686863e-05,5.307365199699259e-05,1.0,8.0
1046,Muhlenberg,KY,31318,11.0,3.512357110926624,4.1167373612932496e-05,13.0,2.9628305589579806e-05,5.3736584439841454e-05,5.0,19.0
1047,Nelson,KY,29710,2.0,0.6731740154830024,2.9914071079735568e-05,9.0,2.037774227716842e-05,4.023523847927273e-05,3.0,14.0
1048,Nicholas,KY,6725,0.0,0.0,3.934749513086178e-05,3.0,2.4083020482685192e-05,5.4140851760104105e-05,0.0,5.0
1049,Ohio,KY,21105,9.0,4.264392324093817,4.411964196577507e-05,9.0,3.071840759683849e-05,5.738986205820109e-05,3.0,14.0
1050,Oldham,KY,33263,6.0,1.8038060307248291,3.3691992900713755e-05,11.0,2.3162096263287478e-05,4.532352093032391e-05,4.0,17.0
1051,Owen,KY,9035,0.0,0.0,3.809215511470018e-05,3.0,2.37901971110079e-05,5.203943975805625e-05,0.0,6.0
1052,Owsley,KY,5036,1.0,1.985702938840349,4.353923734733251e-05,2.0,2.8517826557808588e-05,5.934822470787227e-05,0.0,4.0
1053,Pendleton,KY,12036,6.0,4.985044865403788,4.656853476411842e-05,5.0,3.225419192093718e-05,6.181864159003125e-05,1.0,9.0
1054,Perry,KY,30283,6.0,1.981309645675792,3.509397761386967e-05,10.0,2.4804810538541312e-05,4.690160100097567e-05,4.0,16.0
1055,Pike,KY,72583,20.0,2.755466155986939,3.4563873903434414e-05,25.0,2.576349758652438e-05,4.4070089198516774e-05,14.0,35.0
1056,Powell,KY,11686,3.0,2.5671743967140173,4.1701171019947484e-05,5.0,2.7098314076935948e-05,5.606510657406666e-05,1.0,8.0
1057,Pulaski,KY,49489,15.0,3.0309765806542868,3.794307674457527e-05,18.0,2.7800794194548177e-05,4.8750697231993955e-05,10.0,27.0
1058,Robertson,KY,2124,1.0,4.708097928436913,4.611754868494601e-05,1.0,2.99895886704539e-05,6.385831438985537e-05,0.0,2.0
1059,Rockcastle,KY,14803,3.0,2.0266162264405865,3.940456698821357e-05,6.0,2.5589578457381454e-05,5.329898712767301e-05,2.0,10.0
1060,Rowan,KY,20353,2.0,0.9826561194909842,3.411610031051633e-05,7.0,2.245656709255761e-05,4.6223674131213127e-05,3.0,12.0
1061,Russell,KY,14716,6.0,4.077194889915738,4.466807081927686e-05,6.0,3.0175300821660233e-05,5.8744157835478545e-05,2.0,11.0
1062,Scott,KY,23867,5.0,2.09494280806134,3.7040072612078945e-05,9.0,2.5343356210785292e-05,4.952942673416827e-05,3.0,14.0
1063,Shelby,KY,24824,7.0,2.819851756364808,3.936324392334472e-05,10.0,2.7719763506800792e-05,5.260641175520656e-05,3.0,15.0
1064,Simpson,KY,15145,6.0,3.961703532518983,4.416204800739491e-05,7.0,3.1552845808037174e-05,6.0973981154084716e-05,2.0,11.0
1065,Spencer,KY,6801,2.0,2.940744008234083,4.3665878568733325e-05,3.0,2.9346003303413312e-05,6.0455166920709286e-05,0.0,5.0
1066,Taylor,KY,21146,2.0,0.9458053532582996,3.373148339918897e-05,7.0,2.1284850656553045e-05,4.545167890497921e-05,2.0,12.0
1067,Todd,KY,10940,1.0,0.9140767824497258,3.808817716786636e-05,4.0,2.406485032336874e-05,5.179760808241446e-05,0.0,7.0
1068,Trigg,KY,10361,6.0,5.790946819805037,4.825967313197923e-05,5.0,3.3812579475209415e-05,6.51685739923795e-05,0.0,8.0
1069,Trimble,KY,6090,2.0,3.2840722495894914,4.4312942259932574e-05,3.0,2.9193708661555442e-05,6.084416666039357e-05,0.0,5.0
1070,Union,KY,16557,4.0,2.4158965996255364,3.985935848493365e-05,6.0,2.6202392783023253e-05,5.301930611340867e-05,2.0,11.0
1071,Warren,KY,76673,12.0,1.565088101417709,2.6356954105352128e-05,20.0,1.9369762026503974e-05,3.4507142201255294e-05,11.0,29.0
1072,Washington,KY,10441,2.0,1.9155253328225268,4.050462854543684e-05,4.0,2.6788247695109566e-05,5.577909769755928e-05,0.0,7.0
1073,Wayne,KY,17468,4.0,2.2899015342340285,3.936261250273089e-05,7.0,2.746264141296761e-05,5.441908668760382e-05,2.0,11.0
1074,Webster,KY,13955,3.0,2.1497671085632386,4.011533969368749e-05,5.0,2.7115900839096383e-05,5.530243282123064e-05,1.0,9.0
1075,Whitley,KY,33326,6.0,1.8003960871391709,3.3538115251813365e-05,11.0,2.2775161422577414e-05,4.440552336531737e-05,4.0,17.0
1076,Wolfe,KY,6503,3.0,4.613255420575118,4.59175671235745e-05,3.0,2.9719599159613076e-05,6.156993937855962e-05,1.0,6.0
1077,Woodford,KY,19955,6.0,3.006765221748935,4.0332486117683724e-05,8.0,2.708596909944872e-05,5.322894424604277e-05,3.0,13.0
1078,Acadia parish,LA,55882,0.0,0.0,1.9742511395995644e-05,11.0,1.3046342048237724e-05,2.7816653539477434e-05,4.0,17.0
1079,Allen parish,LA,21226,0.0,0.0,3.083064071769201e-05,6.0,2.063947070754748e-05,4.265869536195945e-05,2.0,11.0
1080,Ascension parish,LA,58214,0.0,0.0,1.9537383260566027e-05,11.0,1.319155429620281e-05,2.7115334041992764e-05,5.0,18.0
1081,Assumption parish,LA,22753,0.0,0.0,2.9836700040095472e-05,7.0,1.9222526368947405e-05,4.188709967512622e-05,1.0,11.0
1082,Avoyelles parish,LA,39159,0.0,0.0,2.3823362590649192e-05,9.0,1.5342136700454934e-05,3.2374394897787395e-05,3.0,15.0
1083,Beauregard parish,LA,30083,0.0,0.0,2.7232440980466345e-05,8.0,1.7366992375790527e-05,3.684143098720079e-05,2.0,13.0
1084,Bienville parish,LA,15979,0.0,0.0,3.366700367302418e-05,5.0,2.1555801430970107e-05,4.593664097714244e-05,1.0,9.0
1085,Bossier parish,LA,86088,0.0,0.0,1.5289335333780365e-05,13.0,9.789565884127633e-06,2.091742790480158e-05,5.0,20.0
1086,Caddo parish,LA,248253,0.0,0.0,6.742712839653362e-06,16.0,4.25410907437208e-06,9.218764505003376e-06,8.0,25.0
1087,Calcasieu parish,LA,168134,0.0,0.0,9.230050325764103e-06,15.0,5.848877835033722e-06,1.2701384548215708e-05,7.0,24.0
1088,Caldwell parish,LA,9810,0.0,0.0,3.724825692680525e-05,4.0,2.4143677084358323e-05,5.0809789760007914e-05,1.0,7.0
