,county,state,population,dc
187,Placer,CA,172796,31.0
188,Plumas,CA,19739,6.0
189,Riverside,CA,1170413,192.0
190,Sacramento,CA,1041219,171.0
191,San benito,CA,36697,0.0
192,San bernardino,CA,1418380,0.0
193,San diego,CA,2498016,0.0
194,San francisco,CA,723959,0.0
195,San joaquin,CA,480628,0.0
196,San luis obispo,CA,217162,0.0
197,San mateo,CA,649623,0.0
198,Santa barbara,CA,369608,0.0
199,Santa clara,CA,1497577,0.0
200,Santa cruz,CA,229734,0.0
201,Shasta,CA,147036,33.0
202,Sierra,CA,3318,1.0
203,Siskiyou,CA,43531,12.0
204,Solano,CA,340421,33.0
205,Sonoma,CA,388222,74.0
206,Stanislaus,CA,370522,56.0
207,Sutter,CA,64415,7.0
208,Tehama,CA,49625,18.0
209,Trinity,CA,13063,4.0
210,Tulare,CA,311921,57.0
211,Tuolumne,CA,48456,12.0
212,Ventura,CA,669016,110.0
213,Yolo,CA,141092,29.0
214,Yuba,CA,58228,16.0
215,Adams,CO,265038,40.0
216,Alamosa,CO,13617,2.0
217,Arapahoe,CO,391511,32.0
218,Archuleta,CO,5345,2.0
219,Baca,CO,4556,1.0
220,Bent,CO,5048,1.0
221,Boulder,CO,225339,37.0
222,Chaffee,CO,12684,1.0
223,Cheyenne,CO,2397,0.0
224,Clear creek,CO,7619,0.0
225,Conejos,CO,7453,1.0
226,Costilla,CO,3190,0.0
227,Crowley,CO,3946,2.0
228,Custer,CO,1926,0.0
229,Delta,CO,20980,8.0
230,Denver,CO,467610,98.0
231,Dolores,CO,1504,2.0
232,Douglas,CO,60391,6.0
233,Eagle,CO,21928,0.0
234,El paso,CO,397014,0.0
235,Elbert,CO,9646,1.0
236,Fremont,CO,32273,9.0
237,Garfield,CO,29974,4.0
238,Gilpin,CO,3070,1.0
239,Grand,CO,7966,1.0
240,Gunnison,CO,10273,1.0
241,Hinsdale,CO,467,0.0
242,Huerfano,CO,6009,0.0
243,Jackson,CO,1605,0.0
244,Jefferson,CO,438430,56.0
245,Kiowa,CO,1688,1.0
246,Kit carson,CO,7140,0.0
247,La plata,CO,32284,0.0
248,Lake,CO,6007,1.0
249,Larimer,CO,186136,26.0
250,Las animas,CO,13765,0.0
251,Lincoln,CO,4529,2.0
252,Logan,CO,17567,6.0
