,county,state,population,dc
821,Monroe,IA,8114,5.0
822,Montgomery,IA,12076,3.0
823,Muscatine,IA,39907,6.0
824,O'brien,IA,15444,0.0
825,Osceola,IA,7267,0.0
826,Page,IA,16870,3.0
827,Palo alto,IA,10669,0.0
828,Plymouth,IA,23388,9.0
829,Pocahontas,IA,9525,3.0
830,Polk,IA,327140,97.0
831,Pottawattamie,IA,82628,26.0
832,Poweshiek,IA,19033,4.0
833,Ringgold,IA,5420,5.0
834,Sac,IA,12324,1.0
835,Scott,IA,150979,35.0
836,Shelby,IA,13230,9.0
837,Sioux,IA,29903,1.0
838,Story,IA,74252,11.0
839,Tama,IA,17419,5.0
840,Taylor,IA,7114,3.0
841,Union,IA,12750,9.0
842,Van buren,IA,7676,0.0
843,Wapello,IA,35687,12.0
844,Warren,IA,36033,10.0
845,Washington,IA,19612,5.0
846,Wayne,IA,7067,3.0
847,Webster,IA,40342,11.0
848,Winnebago,IA,12122,0.0
849,Winneshiek,IA,20847,6.0
850,Woodbury,IA,98276,18.0
851,Worth,IA,7991,6.0
852,Wright,IA,14269,2.0
853,Allen,KS,14638,7.0
854,Anderson,KS,7803,4.0
855,Atchison,KS,16932,6.0
856,Barber,KS,5874,3.0
857,Barton,KS,29382,5.0
858,Bourbon,KS,14966,4.0
859,Brown,KS,11128,5.0
860,Butler,KS,50580,13.0
861,Chase,KS,3021,1.0
862,Chautauqua,KS,4407,1.0
863,Cherokee,KS,21374,5.0
864,Cheyenne,KS,3243,1.0
865,Clark,KS,2418,2.0
866,Clay,KS,9158,0.0
867,Cloud,KS,11023,4.0
868,Coffey,KS,8404,4.0
869,Comanche,KS,2313,1.0
870,Cowley,KS,36915,12.0
871,Crawford,KS,35568,14.0
872,Decatur,KS,4021,2.0
873,Dickinson,KS,18958,9.0
874,Doniphan,KS,8134,5.0
875,Douglas,KS,81798,12.0
876,Edwards,KS,3787,1.0
877,Elk,KS,3327,2.0
878,Ellis,KS,26004,11.0
879,Ellsworth,KS,6586,4.0
880,Finney,KS,33070,7.0
881,Ford,KS,27463,5.0
882,Franklin,KS,21994,10.0
883,Geary,KS,30453,3.0
884,Gove,KS,3231,0.0
885,Graham,KS,3543,1.0
886,Grant,KS,7159,0.0
887,Gray,KS,5396,1.0
888,Greeley,KS,1774,0.0
889,Greenwood,KS,7847,6.0
890,Hamilton,KS,2388,1.0
891,Harper,KS,7124,4.0
892,Harvey,KS,31028,9.0
893,Haskell,KS,3886,1.0
894,Hodgeman,KS,2177,0.0
895,Jackson,KS,11525,4.0
896,Jefferson,KS,15905,4.0
897,Jewell,KS,4251,1.0
898,Johnson,KS,355054,72.0
899,Kearny,KS,4027,1.0
900,Kingman,KS,8292,2.0
901,Kiowa,KS,3660,0.0
902,Labette,KS,23693,6.0
903,Lane,KS,2375,0.0
904,Leavenworth,KS,64371,12.0
905,Lincoln,KS,3653,1.0
906,Linn,KS,8254,3.0
907,Logan,KS,3081,1.0
908,Lyon,KS,34732,4.0
909,Marion,KS,12888,5.0
910,Marshall,KS,11705,6.0
911,Mcpherson,KS,27268,0.0
912,Meade,KS,4247,1.0
913,Miami,KS,23466,4.0
914,Mitchell,KS,7203,0.0
915,Montgomery,KS,38816,16.0
916,Morris,KS,6198,2.0
917,Morton,KS,3480,0.0
918,Nemaha,KS,10446,4.0
919,Neosho,KS,17035,1.0
920,Ness,KS,4033,2.0
921,Norton,KS,5947,3.0
922,Osage,KS,15248,5.0
923,Osborne,KS,4867,1.0
924,Ottawa,KS,5634,1.0
925,Pawnee,KS,7555,2.0
926,Phillips,KS,6590,4.0
927,Pottawatomie,KS,16128,3.0
928,Pratt,KS,9702,1.0
929,Rawlins,KS,3404,2.0
930,Reno,KS,62389,30.0
931,Republic,KS,6482,3.0
932,Rice,KS,10610,10.0
933,Riley,KS,67139,7.0
934,Rooks,KS,6039,1.0
935,Rush,KS,3842,1.0
936,Russell,KS,7835,1.0
937,Saline,KS,49301,10.0
938,Scott,KS,5289,2.0
939,Sedgwick,KS,403662,92.0
940,Seward,KS,18743,3.0
941,Shawnee,KS,160976,46.0
942,Sheridan,KS,3043,2.0
943,Sherman,KS,6926,4.0
944,Smith,KS,5078,3.0
945,Stafford,KS,5365,3.0
946,Stanton,KS,2333,0.0
947,Stevens,KS,5048,2.0
948,Sumner,KS,25841,17.0
949,Thomas,KS,8258,1.0
950,Trego,KS,3694,2.0
951,Wabaunsee,KS,6603,2.0
952,Wallace,KS,1821,0.0
953,Washington,KS,7073,2.0
954,Wichita,KS,2758,0.0
955,Wilson,KS,10289,5.0
956,Woodson,KS,4116,3.0
957,Wyandotte,KS,161993,40.0
958,Adair,KY,15360,3.0
959,Allen,KY,14628,7.0
960,Anderson,KY,14571,1.0
961,Ballard,KY,7902,1.0
962,Barren,KY,34001,14.0
963,Bath,KY,9692,4.0
964,Bell,KY,31506,11.0
965,Boone,KY,57589,12.0
966,Bourbon,KY,19236,8.0
967,Boyd,KY,51150,18.0
968,Boyle,KY,25641,5.0
969,Bracken,KY,7766,4.0
970,Breathitt,KY,15703,3.0
971,Breckinridge,KY,16312,5.0
972,Bullitt,KY,47567,3.0
973,Butler,KY,11245,5.0
974,Caldwell,KY,13232,0.0
975,Calloway,KY,30735,8.0
976,Campbell,KY,83866,17.0
977,Carlisle,KY,5238,1.0
978,Carroll,KY,9292,4.0
979,Carter,KY,24340,5.0
980,Casey,KY,14211,3.0
981,Christian,KY,68941,10.0
982,Clark,KY,29496,5.0
983,Clay,KY,21746,3.0
984,Clinton,KY,9135,4.0
985,Crittenden,KY,9196,4.0
986,Cumberland,KY,6784,0.0
987,Daviess,KY,87189,21.0
988,Edmonson,KY,10357,3.0
989,Elliott,KY,6455,2.0
990,Estill,KY,14614,7.0
991,Fayette,KY,225366,36.0
992,Fleming,KY,12292,7.0
993,Floyd,KY,43586,14.0
994,Franklin,KY,43781,7.0
995,Fulton,KY,8271,4.0
996,Gallatin,KY,5393,1.0
997,Garrard,KY,11579,2.0
998,Grant,KY,15737,1.0
999,Graves,KY,33550,13.0
1000,Grayson,KY,21050,2.0
1001,Green,KY,10371,2.0
1002,Greenup,KY,36742,3.0
1003,Hancock,KY,7864,1.0
1004,Hardin,KY,89240,13.0
1005,Harlan,KY,36574,9.0
1006,Harrison,KY,16248,3.0
1007,Hart,KY,14890,3.0
1008,Henderson,KY,43044,7.0
1009,Henry,KY,12823,2.0
1010,Hickman,KY,5566,3.0
1011,Hopkins,KY,46126,9.0
1012,Jackson,KY,11955,4.0
1013,Jefferson,KY,664937,157.0
1014,Jessamine,KY,30508,3.0
1015,Johnson,KY,23248,6.0
1016,Kenton,KY,142031,27.0
1017,Knott,KY,17906,3.0
1018,Knox,KY,29676,7.0
1019,Larue,KY,11679,0.0
1020,Laurel,KY,43438,4.0
1021,Lawrence,KY,13998,4.0
1022,Lee,KY,7422,5.0
1023,Leslie,KY,13642,1.0
1024,Letcher,KY,27000,6.0
1025,Lewis,KY,13029,0.0
1026,Lincoln,KY,20045,3.0
1027,Livingston,KY,9062,2.0
1028,Logan,KY,24416,8.0
1029,Lyon,KY,6624,2.0
1030,Madison,KY,57508,12.0
1031,Magoffin,KY,13077,4.0
1032,Marion,KY,16499,3.0
1033,Marshall,KY,27205,10.0
1034,Martin,KY,12526,1.0
1035,Mason,KY,16666,3.0
1036,Mccracken,KY,62879,0.0
1037,Mccreary,KY,15603,0.0
1038,Mclean,KY,9628,0.0
1039,Meade,KY,24170,2.0
1040,Menifee,KY,5092,1.0
1041,Mercer,KY,19148,6.0
1042,Metcalfe,KY,8963,2.0
1043,Monroe,KY,11401,5.0
1044,Montgomery,KY,19561,4.0
1045,Morgan,KY,11648,2.0
1046,Muhlenberg,KY,31318,11.0
1047,Nelson,KY,29710,2.0
1048,Nicholas,KY,6725,0.0
1049,Ohio,KY,21105,9.0
1050,Oldham,KY,33263,6.0
1051,Owen,KY,9035,0.0
1052,Owsley,KY,5036,1.0
1053,Pendleton,KY,12036,6.0
1054,Perry,KY,30283,6.0
1055,Pike,KY,72583,20.0
1056,Powell,KY,11686,3.0
1057,Pulaski,KY,49489,15.0
1058,Robertson,KY,2124,1.0
1059,Rockcastle,KY,14803,3.0
1060,Rowan,KY,20353,2.0
1061,Russell,KY,14716,6.0
1062,Scott,KY,23867,5.0
1063,Shelby,KY,24824,7.0
1064,Simpson,KY,15145,6.0
1065,Spencer,KY,6801,2.0
1066,Taylor,KY,21146,2.0
1067,Todd,KY,10940,1.0
1068,Trigg,KY,10361,6.0
1069,Trimble,KY,6090,2.0
1070,Union,KY,16557,4.0
1071,Warren,KY,76673,12.0
1072,Washington,KY,10441,2.0
1073,Wayne,KY,17468,4.0
1074,Webster,KY,13955,3.0
1075,Whitley,KY,33326,6.0
1076,Wolfe,KY,6503,3.0
1077,Woodford,KY,19955,6.0
1078,Acadia parish,LA,55882,0.0
1079,Allen parish,LA,21226,0.0
1080,Ascension parish,LA,58214,0.0
1081,Assumption parish,LA,22753,0.0
1082,Avoyelles parish,LA,39159,0.0
1083,Beauregard parish,LA,30083,0.0
1084,Bienville parish,LA,15979,0.0
1085,Bossier parish,LA,86088,0.0
1086,Caddo parish,LA,248253,0.0
1087,Calcasieu parish,LA,168134,0.0
1088,Caldwell parish,LA,9810,0.0
1089,Cameron parish,LA,9260,0.0
1090,Catahoula parish,LA,11065,0.0
1091,Claiborne parish,LA,17405,0.0
1092,Concordia parish,LA,20828,0.0
1093,De soto parish,LA,25346,0.0
1094,East baton rouge parish,LA,380105,0.0
1095,East carroll parish,LA,9709,0.0
1096,East feliciana parish,LA,19211,0.0
1097,Evangeline parish,LA,33274,0.0
1098,Franklin parish,LA,22387,0.0
1099,Grant parish,LA,17526,0.0
1100,Iberia parish,LA,68297,0.0
1101,Iberville parish,LA,31049,0.0
1102,Jackson parish,LA,15705,0.0
1103,Jefferson davis parish,LA,30722,0.0
1104,Jefferson parish,LA,448306,0.0
1105,La salle parish,LA,13662,0.0
1106,Lafayette parish,LA,164762,0.0
1107,Lafourche parish,LA,85860,0.0
1108,Lincoln parish,LA,41745,0.0
1109,Livingston parish,LA,70526,0.0
1110,Madison parish,LA,12463,0.0
1111,Morehouse parish,LA,31938,0.0
1112,Natchitoches parish,LA,36689,0.0
1113,Orleans parish,LA,496938,0.0
1114,Ouachita parish,LA,142191,0.0
1115,Plaquemines parish,LA,25575,0.0
1116,Pointe coupee parish,LA,22540,0.0
1117,Rapides parish,LA,131556,0.0
1118,Red river parish,LA,9387,0.0
1119,Richland parish,LA,20629,0.0
1120,Sabine parish,LA,22646,0.0
1121,St. bernard parish,LA,66631,0.0
1122,St. charles parish,LA,42437,0.0
1123,St. helena parish,LA,9874,0.0
1124,St. james parish,LA,20879,0.0
1125,St. john the baptist paris,LA,39996,0.0
1126,St. landry parish,LA,80331,0.0
1127,St. martin parish,LA,43978,0.0
1128,St. mary parish,LA,58086,0.0
1129,St. tammany parish,LA,144508,0.0
1130,Tangipahoa parish,LA,85709,0.0
1131,Tensas parish,LA,7103,0.0
1132,Terrebonne parish,LA,96982,0.0
1133,Union parish,LA,20690,0.0
1134,Vermilion parish,LA,50055,0.0
1135,Vernon parish,LA,61961,0.0
1136,Washington parish,LA,43185,0.0
1137,Webster parish,LA,41989,0.0
1138,West baton rouge parish,LA,19419,0.0
1139,West carroll parish,LA,12093,0.0
1140,West feliciana parish,LA,12915,0.0
1141,Winn parish,LA,16269,0.0
1142,Androscoggin,ME,105259,25.0
1143,Aroostook,ME,86936,23.0
1144,Cumberland,ME,243135,61.0
1145,Franklin,ME,29008,7.0
1146,Hancock,ME,46948,17.0
1147,Kennebec,ME,115904,29.0
1148,Knox,ME,36310,12.0
1149,Lincoln,ME,30357,9.0
1150,Oxford,ME,52602,16.0
1151,Penobscot,ME,146601,48.0
1152,Piscataquis,ME,18653,3.0
1153,Sagadahoc,ME,33535,6.0
1154,Somerset,ME,49767,16.0
1155,Waldo,ME,33018,9.0
1156,Washington,ME,35308,12.0
1157,York,ME,164587,37.0
1158,Allegany,MD,74946,21.0
1159,Anne arundel,MD,427239,0.0
1160,Baltimore city,MD,736014,0.0
1161,Baltimore,MD,692134,179.0
1162,Calvert,MD,51372,2.0
1163,Caroline,MD,27035,4.0
1164,Carroll,MD,123372,19.0
1165,Cecil,MD,71347,18.0
1166,Charles,MD,101154,12.0
1167,Dorchester,MD,30236,2.0
1168,Frederick,MD,150208,32.0
1169,Garrett,MD,28138,14.0
1170,Harford,MD,182132,31.0
1171,Howard,MD,187328,22.0
1172,Kent,MD,17842,4.0
1173,Montgomery,MD,757027,106.0
1174,Prince george's,MD,729268,0.0
1175,Queen anne's,MD,33953,0.0
1176,Somerset,MD,23440,6.0
1177,St. mary's,MD,75974,0.0
1178,Talbot,MD,30549,8.0
1179,Washington,MD,121393,25.0
1180,Wicomico,MD,74339,10.0
1181,Worcester,MD,35028,8.0
1182,Barnstable,MA,186605,59.0
1183,Berkshire,MA,139352,39.0
1184,Bristol,MA,506325,109.0
1185,Dukes,MA,11639,1.0
1186,Essex,MA,670080,174.0
1187,Franklin,MA,70092,11.0
1188,Hampden,MA,456310,119.0
1189,Hampshire,MA,146568,29.0
1190,Middlesex,MA,1398468,336.0
1191,Nantucket,MA,6012,1.0
1192,Norfolk,MA,616087,170.0
1193,Plymouth,MA,435276,102.0
1194,Suffolk,MA,663906,154.0
1195,Worcester,MA,709705,154.0
1196,Alcona,MI,10145,7.0
1197,Alger,MI,8972,0.0
1198,Allegan,MI,90509,14.0
1199,Alpena,MI,30605,4.0
1200,Antrim,MI,18185,8.0
1201,Arenac,MI,14931,5.0
1202,Baraga,MI,7954,2.0
1203,Barry,MI,50057,7.0
1204,Bay,MI,111723,23.0
1205,Benzie,MI,12200,4.0
1206,Berrien,MI,161378,36.0
1207,Branch,MI,41502,12.0
1208,Calhoun,MI,135982,31.0
1209,Cass,MI,49477,7.0
1210,Charlevoix,MI,21468,8.0
1211,Cheboygan,MI,21398,8.0
1212,Chippewa,MI,34604,10.0
1213,Clare,MI,24952,6.0
1214,Clinton,MI,57883,9.0
1215,Crawford,MI,12260,3.0
1216,Delta,MI,37780,10.0
1217,Dickinson,MI,26831,4.0
1218,Eaton,MI,92879,17.0
1219,Emmet,MI,25040,6.0
1220,Genesee,MI,430459,105.0
1221,Gladwin,MI,21896,4.0
1222,Gogebic,MI,18052,3.0
1223,Grand traverse,MI,64273,0.0
1224,Gratiot,MI,38982,11.0
1225,Hillsdale,MI,43431,10.0
1226,Houghton,MI,35446,16.0
1227,Huron,MI,34951,17.0
1228,Ingham,MI,281912,30.0
1229,Ionia,MI,57024,14.0
1230,Iosco,MI,30209,9.0
1231,Iron,MI,13175,6.0
1232,Isabella,MI,54624,8.0
1233,Jackson,MI,149756,30.0
1234,Kalamazoo,MI,223411,48.0
1235,Kalkaska,MI,13497,1.0
1236,Kent,MI,500631,84.0
1237,Keweenaw,MI,1701,1.0
1238,Lake,MI,8583,2.0
1239,Lapeer,MI,74768,11.0
1240,Leelanau,MI,16527,3.0
1241,Lenawee,MI,91476,13.0
1242,Livingston,MI,115645,21.0
1243,Luce,MI,5763,5.0
1244,Mackinac,MI,10674,4.0
1245,Macomb,MI,717400,156.0
1246,Manistee,MI,21265,12.0
1247,Marquette,MI,70887,12.0
1248,Mason,MI,25537,9.0
1249,Mecosta,MI,37308,7.0
1250,Menominee,MI,24920,10.0
1251,Midland,MI,75651,14.0
1252,Missaukee,MI,12147,1.0
1253,Monroe,MI,133600,27.0
1254,Montcalm,MI,53059,7.0
1255,Montmorency,MI,8936,5.0
1256,Muskegon,MI,158983,25.0
1257,Newaygo,MI,38202,12.0
1258,Oakland,MI,1083592,234.0
1259,Oceana,MI,22454,6.0
1260,Ogemaw,MI,18681,10.0
1261,Ontonagon,MI,8854,4.0
1262,Osceola,MI,20146,3.0
1263,Oscoda,MI,7842,3.0
1264,Otsego,MI,17957,4.0
1265,Ottawa,MI,187768,36.0
1266,Presque isle,MI,13743,0.0
1267,Roscommon,MI,19776,11.0
1268,Saginaw,MI,211946,40.0
1269,Sanilac,MI,39928,9.0
1270,Schoolcraft,MI,8302,4.0
1271,Shiawassee,MI,69770,16.0
1272,St. clair,MI,145607,0.0
1273,St. joseph,MI,58913,0.0
1274,Tuscola,MI,55498,8.0
1275,Van buren,MI,70060,0.0
1276,Washtenaw,MI,282937,29.0
1277,Wayne,MI,2111687,360.0
1278,Wexford,MI,26360,9.0
1279,Aitkin,MN,12425,5.0
1280,Anoka,MN,243641,32.0
1281,Becker,MN,27881,7.0
1282,Beltrami,MN,34384,13.0
1283,Benton,MN,30185,7.0
1284,Big stone,MN,6285,0.0
1285,Blue earth,MN,54044,0.0
1286,Brown,MN,26984,8.0
1287,Carlton,MN,29259,5.0
1288,Carver,MN,47915,4.0
1289,Cass,MN,21791,8.0
1290,Chippewa,MN,13228,4.0
1291,Chisago,MN,30521,10.0
1292,Clay,MN,50422,20.0
1293,Clearwater,MN,8309,4.0
1294,Cook,MN,3868,0.0
1295,Cottonwood,MN,12694,3.0
1296,Crow wing,MN,44249,0.0
1297,Dakota,MN,275227,34.0
1298,Dodge,MN,15731,2.0
1299,Douglas,MN,28674,10.0
1300,Faribault,MN,16937,5.0
1301,Fillmore,MN,20777,11.0
1302,Freeborn,MN,33060,12.0
1303,Goodhue,MN,40690,11.0
1304,Grant,MN,6246,2.0
1305,Hennepin,MN,1032431,218.0
1306,Houston,MN,18497,9.0
1307,Hubbard,MN,14939,6.0
1308,Isanti,MN,25921,3.0
1309,Itasca,MN,40863,21.0
1310,Jackson,MN,11677,4.0
1311,Kanabec,MN,12802,2.0
1312,Kandiyohi,MN,38761,6.0
1313,Kittson,MN,5767,4.0
1314,Koochiching,MN,16299,5.0
1315,Lac qui parle,MN,8924,0.0
1316,Lake,MN,10415,2.0
1317,Lake of the woods,MN,4076,0.0
1318,Le sueur,MN,23239,0.0
1319,Lincoln,MN,6890,2.0
1320,Lyon,MN,24789,7.0
1321,Mahnomen,MN,5044,1.0
1322,Marshall,MN,10993,5.0
1323,Martin,MN,22914,9.0
1324,Mcleod,MN,32030,0.0
1325,Meeker,MN,20846,6.0
1326,Mille lacs,MN,18670,0.0
1327,Morrison,MN,29604,17.0
1328,Mower,MN,37385,11.0
1329,Murray,MN,9660,2.0
1330,Nicollet,MN,28076,7.0
1331,Nobles,MN,20098,7.0
1332,Norman,MN,7975,2.0
1333,Olmsted,MN,106470,15.0
1334,Otter tail,MN,50714,0.0
1335,Pennington,MN,13306,3.0
1336,Pine,MN,21264,3.0
1337,Pipestone,MN,10491,2.0
1338,Polk,MN,32498,15.0
1339,Pope,MN,10745,3.0
1340,Ramsey,MN,485765,118.0
1341,Red lake,MN,4525,0.0
1342,Redwood,MN,17254,4.0
1343,Renville,MN,17673,8.0
1344,Rice,MN,49183,7.0
1345,Rock,MN,9806,4.0
1346,Roseau,MN,15026,4.0
1347,Scott,MN,57846,11.0
1348,Sherburne,MN,41945,4.0
1349,Sibley,MN,14366,5.0
1350,St. louis,MN,198213,0.0
1351,Stearns,MN,118791,12.0
1352,Steele,MN,30729,6.0
1353,Stevens,MN,10634,5.0
1354,Swift,MN,10724,4.0
1355,Todd,MN,23363,13.0
1356,Traverse,MN,4463,3.0
1357,Wabasha,MN,19744,7.0
1358,Wadena,MN,13154,6.0
1359,Waseca,MN,18079,4.0
1360,Washington,MN,145896,22.0
1361,Watonwan,MN,11682,6.0
1362,Wilkin,MN,7516,4.0
1363,Winona,MN,47828,13.0
1364,Wright,MN,68710,25.0
1365,Yellow medicine,MN,11684,0.0
1366,Adams,MS,35356,5.0
1367,Alcorn,MS,31722,8.0
1368,Amite,MS,13328,0.0
1369,Attala,MS,18481,7.0
1370,Benton,MS,8046,0.0
1371,Bolivar,MS,41875,4.0
1372,Calhoun,MS,14908,3.0
1373,Carroll,MS,9237,4.0
1374,Chickasaw,MS,18085,0.0
1375,Choctaw,MS,9071,1.0
1376,Claiborne,MS,11370,2.0
1377,Clarke,MS,17313,1.0
1378,Clay,MS,21120,2.0
1379,Coahoma,MS,31665,1.0
1380,Copiah,MS,27592,2.0
1381,Covington,MS,16527,3.0
1382,Desoto,MS,67910,0.0
1383,Forrest,MS,68314,10.0
1384,Franklin,MS,8377,1.0
1385,George,MS,16673,4.0
1386,Greene,MS,10220,1.0
1387,Grenada,MS,21555,3.0
1388,Hancock,MS,31760,9.0
1389,Harrison,MS,165365,30.0
1390,Hinds,MS,254441,29.0
1391,Holmes,MS,21604,3.0
1392,Humphreys,MS,12134,1.0
1393,Issaquena,MS,1909,0.0
1394,Itawamba,MS,20017,5.0
1395,Jackson,MS,115243,16.0
1396,Jasper,MS,17114,4.0
1397,Jefferson,MS,8653,2.0
1398,Jefferson davis,MS,14051,0.0
1399,Jones,MS,62031,11.0
1400,Kemper,MS,10356,3.0
1401,Lafayette,MS,31826,6.0
1402,Lamar,MS,30424,0.0
1403,Lauderdale,MS,75555,13.0
1404,Lawrence,MS,12458,2.0
1405,Leake,MS,18436,0.0
1406,Lee,MS,65581,13.0
1407,Leflore,MS,37341,4.0
1408,Lincoln,MS,30278,5.0
1409,Lowndes,MS,59308,6.0
1410,Madison,MS,53794,5.0
1411,Marion,MS,25544,6.0
1412,Marshall,MS,30361,2.0
1413,Monroe,MS,36582,7.0
1414,Montgomery,MS,12388,6.0
1415,Neshoba,MS,24800,8.0
1416,Newton,MS,20291,4.0
1417,Noxubee,MS,12604,0.0
1418,Oktibbeha,MS,38375,3.0
1419,Panola,MS,29996,6.0
1420,Pearl river,MS,38714,0.0
1421,Perry,MS,10865,1.0
1422,Pike,MS,36882,6.0
1423,Pontotoc,MS,22237,2.0
1424,Prentiss,MS,23278,5.0
1425,Quitman,MS,10490,3.0
1426,Rankin,MS,87161,12.0
1427,Scott,MS,24137,3.0
1428,Sharkey,MS,7066,1.0
1429,Simpson,MS,23953,3.0
1430,Smith,MS,14798,2.0
1431,Stone,MS,10750,2.0
1432,Sunflower,MS,32867,1.0
1433,Tallahatchie,MS,15210,1.0
1434,Tate,MS,21432,2.0
1435,Tippah,MS,19523,5.0
1436,Tishomingo,MS,17683,3.0
1437,Tunica,MS,8164,2.0
1438,Union,MS,22085,6.0
1439,Walthall,MS,14352,4.0
1440,Warren,MS,47880,8.0
1441,Washington,MS,67935,1.0
1442,Wayne,MS,19517,3.0
1443,Webster,MS,10222,3.0
1444,Wilkinson,MS,9678,1.0
1445,Winston,MS,19433,2.0
1446,Yalobusha,MS,12033,3.0
1447,Yazoo,MS,25506,2.0
1448,Adair,MO,24577,4.0
1449,Andrew,MO,14632,4.0
1450,Atchison,MO,7457,3.0
1451,Audrain,MO,23599,9.0
1452,Barry,MO,27547,14.0
1453,Barton,MO,11312,4.0
1454,Bates,MO,15025,11.0
1455,Benton,MO,13859,2.0
1456,Bollinger,MO,10619,1.0
1457,Boone,MO,112379,16.0
1458,Buchanan,MO,83083,22.0
1459,Butler,MO,38765,14.0
1460,Caldwell,MO,8380,2.0
1461,Callaway,MO,32809,9.0
1462,Camden,MO,27495,9.0
1463,Cape girardeau,MO,61633,0.0
1464,Carroll,MO,10748,4.0
1465,Carter,MO,5515,3.0
1466,Cass,MO,63808,8.0
1467,Cedar,MO,12093,1.0
1468,Chariton,MO,9202,2.0
1469,Christian,MO,32644,8.0
1470,Clark,MO,7547,4.0
1471,Clay,MO,153411,34.0
1472,Clinton,MO,16595,3.0
1473,Cole,MO,63579,16.0
1474,Cooper,MO,14835,4.0
1475,Crawford,MO,19173,4.0
1476,Dade,MO,7449,4.0
1477,Dallas,MO,12646,4.0
1478,Daviess,MO,7865,2.0
1479,Dekalb,MO,9967,0.0
1480,Dent,MO,13702,3.0
1481,Douglas,MO,11876,2.0
1482,Dunklin,MO,33112,15.0
1483,Franklin,MO,80603,20.0
1484,Gasconade,MO,14006,13.0
1485,Gentry,MO,6848,3.0
1486,Greene,MO,207949,47.0
1487,Grundy,MO,10536,3.0
1488,Harrison,MO,8469,2.0
1489,Henry,MO,20044,4.0
1490,Hickory,MO,7335,3.0
1491,Holt,MO,6034,1.0
1492,Howard,MO,9631,5.0
1493,Howell,MO,31447,13.0
1494,Iron,MO,10726,3.0
1495,Jackson,MO,633232,145.0
1496,Jasper,MO,90465,26.0
1497,Jefferson,MO,171380,36.0
1498,Johnson,MO,42514,8.0
1499,Knox,MO,4482,2.0
1500,Laclede,MO,27158,3.0
1501,Lafayette,MO,31107,10.0
1502,Lawrence,MO,30236,7.0
1503,Lewis,MO,10233,3.0
1504,Lincoln,MO,28892,5.0
1505,Linn,MO,13885,8.0
1506,Livingston,MO,14592,2.0
1507,Macon,MO,15345,4.0
1508,Madison,MO,11127,5.0
1509,Maries,MO,7976,5.0
1510,Marion,MO,27682,11.0
1511,Mcdonald,MO,16938,0.0
1512,Mercer,MO,3723,0.0
1513,Miller,MO,20700,7.0
1514,Mississippi,MO,14442,4.0
1515,Moniteau,MO,12298,2.0
1516,Monroe,MO,9104,6.0
1517,Montgomery,MO,11355,3.0
1518,Morgan,MO,15574,7.0
1519,New madrid,MO,20928,0.0
1520,Newton,MO,44445,14.0
1521,Nodaway,MO,21709,4.0
1522,Oregon,MO,9470,0.0
1523,Osage,MO,12018,7.0
1524,Ozark,MO,8598,6.0
1525,Pemiscot,MO,21921,5.0
1526,Perry,MO,16648,4.0
1527,Pettis,MO,35437,9.0
1528,Phelps,MO,35248,10.0
1529,Pike,MO,15969,4.0
1530,Platte,MO,57867,6.0
1531,Polk,MO,21826,4.0
1532,Pulaski,MO,41307,2.0
1533,Putnam,MO,5079,2.0
1534,Ralls,MO,8476,4.0
1535,Randolph,MO,24370,10.0
1536,Ray,MO,21971,4.0
1537,Reynolds,MO,6661,3.0
1538,Ripley,MO,12303,2.0
1539,Saline,MO,23523,11.0
1540,Schuyler,MO,4236,1.0
1541,Scotland,MO,4822,2.0
1542,Scott,MO,39376,10.0
1543,Shannon,MO,7613,2.0
1544,Shelby,MO,6942,6.0
1545,St. charles,MO,212907,0.0
1546,St. clair,MO,8457,0.0
1547,St. francois,MO,48904,0.0
1548,St. louis city,MO,396685,0.0
1549,St. louis,MO,993529,0.0
1550,Ste. genevieve,MO,16037,0.0
1551,Stoddard,MO,28895,10.0
1552,Stone,MO,19078,6.0
1553,Sullivan,MO,6326,2.0
1554,Taney,MO,25561,13.0
1555,Texas,MO,21476,10.0
1556,Vernon,MO,19041,7.0
1557,Warren,MO,19534,6.0
1558,Washington,MO,20380,4.0
1559,Wayne,MO,11543,1.0
1560,Webster,MO,23753,5.0
1561,Worth,MO,2440,2.0
1562,Wright,MO,16758,9.0
1563,Beaverhead,MT,8424,2.0
1564,Big horn,MT,11337,0.0
1565,Blaine,MT,6728,2.0
1566,Broadwater,MT,3318,1.0
1567,Carbon,MT,8080,3.0
1568,Carter,MT,1503,0.0
1569,Cascade,MT,77691,25.0
1570,Chouteau,MT,5452,2.0
1571,Custer,MT,11697,2.0
1572,Daniels,MT,2266,2.0
1573,Dawson,MT,9505,2.0
1574,Deer lodge,MT,10278,0.0
1575,Fallon,MT,3103,1.0
1576,Fergus,MT,12083,3.0
1577,Flathead,MT,59218,8.0
1578,Gallatin,MT,50463,5.0
1579,Garfield,MT,1589,0.0
1580,Glacier,MT,12121,5.0
1581,Golden valley,MT,912,0.0
1582,Granite,MT,2548,2.0
1583,Hill,MT,17654,1.0
1584,Jefferson,MT,7939,0.0
1585,Judith basin,MT,2282,0.0
1586,Lake,MT,21041,9.0
1587,Lewis and clark,MT,47495,0.0
1588,Liberty,MT,2295,1.0
1589,Lincoln,MT,17481,5.0
1590,Madison,MT,5989,1.0
1591,Mccone,MT,2276,0.0
1592,Meagher,MT,1819,1.0
1593,Mineral,MT,3315,2.0
1594,Missoula,MT,78687,15.0
